CustomerID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Annual_Income,Total_Debt,Avg_Monthly_Revenue,Avg_Monthly_Expenses,Savings_Account_Balance,Tenure,Loan_Repayments,Credit_Card_Fees,Overdraft_Fees,Investment_Account_Balance,Customer_Segment,Branch_Region,Customer_Support_Interactions,Digital_Banking_Usage,Churn,Risk_Score,Default_History
CUST000026,64,Male,Married,Undergraduate,Employed,58976.02,28089.87,2583.12,2045.24,11892.3,12,841.54,67.28,31.1,14676.02,Retail,North,6,80,No,429.43,No
CUST000027,34,Female,Single,Undergraduate,Retired,24853.94,6345.34,1540.67,1376.77,2720.7,20,1235.35,65.5,26.83,10868.26,Private,North,9,20,No,756.25,No
CUST000028,47,Female,Single,Undergraduate,Employed,51406.73,6852.47,1188.22,889.9,18034.53,37,595.66,199.23,44.82,35278.54,Retail,Central,11,22,No,363.47,No
CUST000029,50,Female,Single,Undergraduate,Employed,49572.79,9789.47,3547.87,3075.08,4495.2,2,1285.56,172.9,35.21,43450.61,Retail,Central,12,51,No,767.07,No
CUST000030,24,Female,Single,High School,Employed,36215.29,5720.03,1156.61,941.8,8189.68,20,556.58,66.12,37.48,35734.56,Private,West,7,87,No,466.47,No
CUST000031,51,Male,Married,Undergraduate,Employed,74340.93,30180.33,2367.32,1684.65,19856.05,12,1129.84,98.01,47.6,71538.88,Retail,East,8,76,No,420.85,No
CUST000032,33,Female,Single,High School,Employed,64829.34,13363.6,1775.82,1529,13342.64,38,261.35,121.69,33.17,10072.31,Retail,East,8,47,Yes,810.96,No
CUST000033,27,Female,Married,Postgraduate,Employed,69571.64,22294.77,3246.65,1950.79,16943.5,30,187.08,22.33,22.68,63895.17,Private,North,3,97,No,516.47,Yes
CUST000034,76,Female,Married,Undergraduate,Self-Employed,83330.6,36086.05,2875.06,2015.29,12950.69,18,1132.61,192.67,2.6,41919.57,Retail,Central,16,39,No,824.89,No
CUST000035,77,Female,Single,Postgraduate,Employed,68353.25,13019.83,3567.59,2225.52,18326.29,10,615.76,39.58,45.32,31507.52,Private,South,16,28,No,654.21,No
CUST000036,66,Male,Divorced,Undergraduate,Employed,72803.23,26463.69,4535.26,2797.8,14900.14,7,650.19,167.1,29.49,18922.06,Private,East,18,68,Yes,632.89,No
CUST000037,38,Female,Married,Postgraduate,Employed,37782.33,13089.66,1928.57,1356.52,8233.86,5,903.81,195.67,34.12,19414.62,Private,East,18,47,No,509.79,No
CUST000038,30,Male,Single,High School,Employed,33423.85,14595.06,2267.25,2020.62,3957.11,29,1481.62,146.76,25.26,20039.33,Retail,Central,15,72,No,443.35,No
CUST000039,57,Male,Divorced,High School,Employed,60532.33,21598.23,1620.95,1043.06,12626.76,35,340.11,194,19.68,8694.38,Retail,South,2,21,No,358.59,No
CUST000040,44,Male,Single,High School,Employed,41627.66,10778.56,2921.54,1867.02,9334.94,39,519.8,23.54,25.19,21849.69,Retail,East,0,48,No,622.95,Yes
CUST000041,31,Female,Single,Undergraduate,Employed,30217.11,11119.9,997.41,657.71,8576.56,12,1008.19,83.82,2.43,28414.23,Retail,Central,4,50,No,327.57,No
CUST000042,46,Male,Married,High School,Employed,60978.73,27068.5,4753.98,3730.1,7770.45,10,1081.35,105.76,39.9,47663.28,High Net Worth,West,9,49,No,523.04,Yes
CUST000043,22,Male,Married,Undergraduate,Employed,41033.33,12712.58,1933.82,1669.08,5633.87,37,1088.6,160.93,7.9,20977.32,Private,South,17,76,No,772.37,No
CUST000044,73,Male,Single,Undergraduate,Employed,39941.79,4292.87,1271.09,976.84,9388.73,2,933.57,137.82,16.63,37838.93,Retail,West,17,62,No,801.23,No
CUST000045,36,Female,Single,Undergraduate,Retired,22463.26,4886.46,1135.61,700.83,4996.96,3,923.6,152.48,4.35,11003.69,Private,West,15,35,Yes,537.44,Yes
CUST000046,55,Female,Divorced,Undergraduate,Employed,68450.27,22713.43,4270.71,2966.53,9316.08,14,307.35,46.04,41,11612.55,Private,East,9,80,No,492.83,No
CUST000047,39,Male,Married,High School,Employed,73077.96,9635.65,4878.03,3693.24,14026.58,20,1268.48,172.06,8.42,8225.03,Private,East,2,72,No,583.99,No
CUST000048,47,Male,Single,Undergraduate,Employed,40153.97,13338.45,1869.64,1655.52,9814.02,4,112.45,168,19.95,24733.01,Retail,West,16,5,Yes,356.63,No
CUST000049,48,Female,Married,Undergraduate,Employed,29994.04,12088.67,2343.79,1477.86,5012.59,26,684.61,158.4,20.77,18374.62,Retail,Central,0,76,No,359.66,No
CUST000050,34,Female,Divorced,Postgraduate,Employed,53795.18,13300.78,1168.08,959.44,17972.72,15,401.57,167.23,15.82,14330.42,Private,East,18,90,No,321.6,No
CUST000051,77,Female,Single,Undergraduate,Employed,45879.08,14553.36,2969.63,2066.98,8224.56,9,246.08,58.45,43.01,4885.44,Retail,Central,6,37,No,780.07,No
CUST000052,63,Male,Married,Postgraduate,Employed,32684.41,13120.01,2271.24,1883.64,4080.65,3,547.29,45.25,38.59,21786.31,Private,East,7,73,No,737.62,Yes
CUST000053,75,Female,Married,Undergraduate,Unemployed,8933.64,969.36,620.87,446.75,1618.71,2,1020.06,181.11,37.18,3410.3,Private,West,6,41,No,442.48,No
CUST000054,72,Male,Married,Postgraduate,Self-Employed,55729.89,9940.47,1788.63,1560.08,10683.9,39,795.92,192.26,11.26,41927.01,Retail,South,0,92,No,678.88,No
CUST000055,50,Male,Married,High School,Employed,37016.23,4264.63,1151.81,901.56,8456.35,30,1322.94,96.37,9.48,34612.59,Retail,West,4,40,No,789.89,No
CUST000056,74,Male,Widowed,Undergraduate,Employed,63837.23,16373.45,2235.17,1511.33,11103.68,37,939.56,100.46,12.33,48241.27,Retail,South,12,58,No,747.6,No
CUST000057,30,Male,Single,Undergraduate,Self-Employed,42669.45,9084.43,1166.9,766.81,10798.25,17,454.39,153.38,19.31,4938.75,Retail,South,9,72,No,405.88,No
CUST000058,34,Female,Single,High School,Self-Employed,37606.79,4224.5,2452.63,2156.07,5458.35,3,821.31,109.1,23.94,21766.56,Retail,South,13,2,No,463.29,No
CUST000059,24,Male,Divorced,Undergraduate,Employed,70890.4,31868.57,2193.36,1342.79,20582.87,9,418.34,76.44,12.51,64943.03,High Net Worth,North,6,50,No,456.59,No
CUST000060,39,Male,Married,Undergraduate,Employed,57503.09,13652.77,2418.16,1503.89,18937.91,8,350.12,54.22,22.89,37182.8,Private,South,3,86,No,545.23,No
CUST000061,42,Male,Married,Undergraduate,Employed,42266.33,10379.06,2093.18,1836.65,6657.9,9,1437.03,24.08,9.22,21876.58,Retail,West,13,94,No,565.41,No
CUST000062,37,Male,Married,High School,Self-Employed,31927.11,13128.92,890.56,715.04,10080.88,17,755.25,125.79,13.45,9744.46,Retail,North,15,80,No,458.37,No
CUST000063,67,Male,Married,Undergraduate,Employed,34948.85,3609.11,1636.11,1251.82,5943.66,24,1011.69,45.59,13.04,16123.35,Retail,South,9,48,No,768.04,No
CUST000064,40,Male,Married,High School,Employed,47990.15,9166.62,1378.29,869.07,14939.87,8,1322.81,174.5,36.36,16114.73,Retail,South,3,24,No,334.49,No
CUST000065,37,Male,Divorced,Undergraduate,Employed,42701.67,13141.05,2759.51,1981.67,7655.05,14,551.05,196.92,22.92,7968.26,High Net Worth,South,13,91,No,583.45,No
CUST000066,48,Female,Married,High School,Retired,22574.48,6404.97,591.42,447.62,4381.52,16,1204.64,102.39,30.76,9117.6,Retail,North,14,33,No,495.81,No
CUST000067,32,Female,Single,High School,Employed,66045.45,17553.61,2998.17,2555.75,9781.96,18,1204.36,40.8,33.47,8773.69,Retail,South,2,70,No,743.59,No
CUST000068,65,Female,Married,Undergraduate,Employed,25572.08,10546.01,1758.77,1343.79,3785.25,24,1253.62,124.94,3.43,6022.68,Retail,Central,1,94,No,820.51,No
CUST000069,28,Male,Married,Undergraduate,Employed,69637.63,28357.01,1495.46,1287.33,15913.98,39,365.25,123.3,39.74,26139.69,Retail,West,13,42,No,361.25,No
CUST000070,79,Female,Married,Postgraduate,Retired,19206.25,8720.56,1022.57,795.88,4456.2,27,1447.98,44,14.2,18963.14,Private,Central,12,26,No,546.71,No
CUST000071,63,Female,Married,High School,Self-Employed,54853.65,15743.88,1349.74,840.08,9785.43,28,484.69,136.45,25.49,30499.88,Retail,Central,18,78,No,525.47,Yes
CUST000072,34,Female,Single,High School,Self-Employed,37398.62,7930.2,1274.32,822.21,12162.35,7,1187.54,76.89,16.92,24761.68,Private,East,15,95,No,311.44,No
CUST000073,18,Female,Married,Undergraduate,Unemployed,9257.54,1367.28,374.84,273.5,2953.66,34,327.23,172.19,38.68,2655.33,Retail,South,2,16,No,773.73,No
CUST000074,66,Male,Married,Undergraduate,Unemployed,7777.61,2893.47,339.44,239.72,1155.44,27,1393.92,125.83,11.41,6115.57,Retail,West,1,21,No,415.38,No
CUST000075,58,Female,Married,Undergraduate,Employed,55375.85,27421.43,3387.3,2881.14,9904.42,34,698.98,97.93,48.19,47860.34,Private,Central,7,2,No,347.61,No
CUST000076,60,Male,Married,Undergraduate,Self-Employed,40459.65,12538,1268.15,889.12,14764.74,39,1036.11,193.4,20.01,10517.2,Private,West,0,59,No,798.83,No
CUST000077,63,Male,Single,Undergraduate,Employed,59488.61,17029.9,2393.88,2096.02,8443.77,19,1290.27,108.42,35.58,51920.21,Private,West,16,8,No,457.63,Yes
CUST000078,28,Male,Married,Undergraduate,Employed,53533.7,23429.12,3116.53,2757.02,8433.7,6,495.34,179.71,32.07,35151.92,Retail,West,11,7,Yes,606.26,No
CUST000079,40,Male,Married,Undergraduate,Employed,25980.93,10764.77,1264.58,774.75,3433.33,30,644.59,67.58,37.13,12111.73,Private,East,13,90,No,610.93,No
CUST000080,31,Female,Married,Undergraduate,Self-Employed,93867.66,28875.43,4445.1,3757.31,12647.39,28,538.74,99.52,27.55,74307.48,Retail,East,13,21,No,849.81,No
CUST000081,70,Male,Married,Undergraduate,Self-Employed,93398,14335.68,6127.42,3964.53,14740.61,12,496.02,35.1,19.19,24109.5,Retail,North,16,18,Yes,753.97,No
CUST000082,52,Male,Married,Postgraduate,Retired,19593.19,2392.49,1408.58,984.94,3287.81,15,814.42,96.1,8.98,16856.12,Retail,South,5,82,No,427.24,No
CUST000083,39,Female,Single,Undergraduate,Unemployed,12856.23,2879.9,910.32,646.31,1679.07,39,865.44,181.01,25.97,10203.77,Retail,North,2,1,Yes,636.08,No
CUST000084,27,Male,Married,Undergraduate,Self-Employed,53759.92,18055.07,3506.21,2282.95,10782.38,39,207.55,169.3,3.04,52969.48,Retail,East,5,91,No,313.45,No
CUST000085,39,Male,Single,Undergraduate,Employed,64224.41,6754.85,4024.64,2497.44,14829.99,15,1042.61,195.63,2.94,38472.64,Retail,South,5,8,No,617.63,No
CUST000086,39,Female,Married,High School,Employed,32755.48,14494.39,787.72,629.14,12489.45,36,688,154.95,30.67,20025.38,Retail,South,3,92,No,809.04,No
CUST000087,60,Female,Single,Undergraduate,Self-Employed,47249.43,15893.27,3116.76,2010.4,11416.65,3,1345.34,68.87,24.02,22189.94,Retail,Central,6,2,No,344.11,No
CUST000088,53,Male,Single,Undergraduate,Unemployed,10478.4,4202.12,771.23,516.65,2042.77,1,1339.73,48.95,25.31,7210.16,Private,West,3,22,No,355.65,No
CUST000089,71,Female,Married,Postgraduate,Employed,54883.19,11453.29,3246.51,2181.05,8642.02,7,1108.13,52.31,15.93,20716.02,Retail,North,17,20,Yes,323.35,No
CUST000090,45,Male,Married,Undergraduate,Employed,31446.69,9417.11,1658.09,1256.82,6147.33,9,1295.3,139.05,39.53,28745.07,Retail,Central,2,78,No,613.71,No
CUST000091,31,Male,Married,Undergraduate,Employed,57536.71,7867.64,3499.34,2209.62,10920.05,1,1391.52,88.8,10.06,7282.05,Private,East,2,35,No,492.33,No
CUST000092,59,Male,Married,Undergraduate,Employed,69597.21,17074.16,2742.84,1772.59,22853.72,5,908.26,94.53,29.31,31685.33,Retail,Central,14,60,No,346.46,No
CUST000093,62,Male,Married,Undergraduate,Employed,37529.43,13033.09,1641.51,1084.2,7161.18,36,1460.67,174.9,43.02,24747.21,Retail,West,18,31,No,429.88,No
CUST000094,48,Female,Married,Undergraduate,Unemployed,10676.86,1764.65,752.45,613.3,772.24,10,1437.56,150.8,41.7,1614.37,Retail,East,10,41,No,798.05,No
CUST000095,63,Female,Married,Postgraduate,Employed,58523.16,11937.2,3396.01,2952.57,6448.16,2,253.84,57.67,1.43,58006.02,Retail,West,14,67,No,483.81,Yes
CUST000096,46,Male,Married,Postgraduate,Employed,42488.9,8522.73,1124.89,938.42,6721.86,23,831.86,50.8,13.95,28693.37,Retail,Central,4,72,No,387.04,No
CUST000097,47,Male,Married,Undergraduate,Unemployed,5140.72,2092.45,335.69,215.62,628.84,39,260.25,167.95,35.74,756.98,Retail,East,6,90,Yes,510.7,No
CUST000098,43,Female,Married,High School,Employed,37260.17,3846.15,1024.7,704.12,13356.32,29,1057.79,191.65,37.04,18622.28,Retail,North,0,24,No,478.02,Yes
CUST000099,21,Male,Divorced,Postgraduate,Self-Employed,41684.5,11044.78,2969.44,1866.21,8175.82,19,1171.39,53.33,24.14,17513.14,Retail,West,1,15,No,662.79,No
CUST000100,31,Male,Single,Undergraduate,Self-Employed,89521.94,31211.67,5464.38,3542.79,23049.91,38,1338.55,191.32,10.12,36351.75,Retail,North,6,38,No,434.74,No
CUST000101,22,Female,Divorced,Undergraduate,Self-Employed,34444.27,4289.89,2244.7,1559.06,6435.82,20,1010.01,97.35,13.95,11802.02,Retail,East,19,79,Yes,303.27,No
CUST000102,53,Female,Single,High School,Employed,47786.25,5226.69,3299.29,2890.9,3846.46,12,735.59,183.02,40.05,21908.51,Retail,South,7,99,No,711.07,No
CUST000103,39,Female,Married,High School,Unemployed,6090.71,1694.56,404.59,314.54,883.96,11,318.31,155.15,9.61,1024.01,Private,West,10,38,No,576.36,Yes
CUST000104,46,Male,Single,High School,Employed,54175.74,9300.56,3182.56,1998.96,6829.81,35,275.15,182.92,47.12,48719.72,Retail,South,15,81,No,416.28,No
CUST000105,73,Female,Married,Undergraduate,Retired,20295.33,5390.08,743.01,454.28,3010.75,7,779.93,136.13,25.04,10896.37,Private,East,13,95,No,531.63,Yes
CUST000106,36,Male,Single,Undergraduate,Retired,18666.06,3511.3,931.16,785.78,2999.98,23,1265.57,48.26,14.17,13372.35,Retail,Central,18,66,No,550.69,No
CUST000107,42,Male,Divorced,High School,Self-Employed,70151.71,10031.9,3617.59,2687.13,11754.86,17,1151.01,30.87,19.48,68149.24,Private,East,4,5,No,798.51,No
CUST000108,62,Male,Divorced,Undergraduate,Employed,35703.79,6664.79,767.77,568.27,11286.88,2,1333.12,132.88,12.83,21646.98,Private,Central,2,2,No,309.61,No
CUST000109,35,Male,Married,Undergraduate,Employed,59926.84,23480.43,3416.55,2844.49,6049.55,5,1235.39,30.5,19.22,17951.39,Retail,North,3,2,No,811.44,No
CUST000110,29,Male,Married,High School,Self-Employed,84676.8,13932.54,4521.99,2861.93,24332.83,21,387.65,62.48,6.54,36249.69,Private,Central,10,90,No,319.88,No
CUST000111,38,Male,Divorced,High School,Unemployed,7186.21,813.05,376.21,284.83,1363.84,13,380.45,57.12,41.16,5157.65,Private,South,7,38,No,842.87,No
CUST000112,33,Male,Divorced,High School,Unemployed,13805.51,6312.14,406.7,264.46,2323.68,11,741.22,96.88,48.18,8806.74,Retail,West,0,37,No,578.33,No
CUST000113,74,Female,Married,Undergraduate,Self-Employed,98458.98,44864.51,3898.44,3150.27,27440.38,24,367.62,127.53,32.96,80436.23,Private,East,14,10,Yes,543.6,No
CUST000114,66,Male,Married,High School,Employed,34998.35,4378.59,997.84,687.94,7547.26,33,362.46,184.01,40.43,30169.87,Private,East,11,91,No,701.14,Yes
CUST000115,53,Male,Married,Undergraduate,Self-Employed,90762.38,10965.28,3853.58,2347.33,30229.33,27,474.89,188.51,11.4,15054.12,Retail,East,6,72,No,315.2,No
CUST000116,70,Male,Married,High School,Retired,29027.74,4612.69,1476.82,1077.04,7230.59,35,131.59,196.83,3.14,26406.07,Retail,South,13,74,No,758.28,No
CUST000117,65,Male,Married,High School,Employed,26780.1,8820.93,707.54,615.65,8958.04,18,899.88,157.49,31.36,14533.54,Retail,North,12,99,No,797.03,No
CUST000118,34,Female,Married,Undergraduate,Employed,27267.24,7751.42,1896.88,1430.99,4004.7,21,655.25,185.83,40.88,7499.52,Private,West,9,24,No,335.44,No
CUST000119,72,Male,Single,High School,Retired,24940.34,5352.77,1835.26,1529.93,2894.15,4,432.35,162.31,41.72,14811.55,Retail,North,0,24,No,557.85,No
CUST000120,48,Female,Married,High School,Retired,24987.12,9295.43,715.96,621.44,8245.32,32,287.91,183.91,26.64,3892.11,Retail,West,18,95,No,496.9,No
CUST000121,66,Male,Married,Undergraduate,Employed,37255.61,17860.98,1531.61,1065.91,6004.94,11,738.19,38.75,31.11,34688.3,High Net Worth,South,4,4,No,706.13,No
CUST000122,72,Male,Widowed,Undergraduate,Employed,34574.5,3625.92,2280.06,1684.73,4983.75,3,942.74,193.08,18.41,26547.69,Retail,South,1,40,Yes,718.19,No
CUST000123,39,Female,Widowed,Undergraduate,Employed,27726.6,6654.77,992.44,887.89,6981.2,21,1462.59,62.22,41.53,21118.4,High Net Worth,West,12,14,No,626.55,No
CUST000124,31,Female,Married,High School,Unemployed,14705.88,5074.73,606.12,448.04,4135.04,14,455.35,122.32,34.88,12148.43,Retail,North,14,26,No,748.77,No
CUST000125,35,Male,Married,Postgraduate,Employed,40520.82,18766.33,2135.06,1505.57,8069.74,6,136.87,113.03,9.29,18924.42,High Net Worth,West,10,12,Yes,666.8,No
CUST000126,43,Female,Single,Undergraduate,Unemployed,13561.95,2262.46,916.41,561.12,2909.03,29,1130.42,121.6,13.97,10641.69,High Net Worth,West,7,27,No,573.59,No
CUST000127,66,Male,Married,Undergraduate,Employed,39014.18,12496.17,1138.78,891.01,7889.02,31,429.24,146.37,7.59,7373.12,Retail,East,18,6,No,610.8,No
CUST000128,69,Female,Single,Undergraduate,Retired,24096.29,3153.96,1283.91,811.73,4121.72,28,777.97,117.13,25.29,19618.97,Retail,West,13,27,No,469.41,No
CUST000129,19,Female,Single,Undergraduate,Employed,61451.07,24457.73,4888.6,3208.23,8952.66,36,1231.52,143.97,10.11,7465.83,High Net Worth,South,11,14,Yes,546.62,No
CUST000130,46,Female,Married,High School,Employed,31373.4,5489.04,949.74,773.67,8599.54,28,151.77,116.19,7.94,15321.29,Private,South,4,22,No,814.61,No
CUST000131,43,Female,Married,High School,Employed,45944.75,10402.32,3636.64,3260.07,1821.9,19,298.13,22.17,8.02,37696.64,Retail,North,16,49,No,711.81,Yes
CUST000132,35,Male,Single,High School,Employed,74286.19,32124.47,5674.38,4731.77,7605.88,3,237.45,132.93,13.29,24341.18,Private,West,10,20,No,422.62,No
CUST000133,31,Female,Divorced,Postgraduate,Employed,35043.72,13787.17,1937.59,1347.19,7954.15,12,427.22,119.94,40.45,32579.42,Retail,Central,11,3,No,350.44,No
CUST000134,40,Male,Married,Undergraduate,Employed,34665.08,4742.27,2144.99,1907.48,4087,36,342.24,125.45,46.91,18773.42,High Net Worth,Central,0,73,No,337.94,Yes
CUST000135,75,Male,Single,Postgraduate,Employed,64437.1,27016.74,4291.47,2955.93,9580.48,24,543.24,20.28,49.79,27089.84,Retail,North,16,80,No,768.53,No
CUST000136,39,Male,Single,Undergraduate,Self-Employed,81143.21,23806.8,5371.45,4727.35,8855.24,12,1144.83,104.37,2.01,48847.37,High Net Worth,South,6,73,No,759.63,No
CUST000137,47,Male,Single,Postgraduate,Retired,17417.8,3617.31,1171.81,738.29,1750.82,24,159.28,177.5,28.45,5867.59,Retail,West,11,49,Yes,475.73,No
CUST000138,58,Female,Single,Postgraduate,Employed,29807.09,13404.47,837.52,507.92,7214.85,1,203.27,79.86,13.32,23510.91,Retail,North,15,96,Yes,306.5,No
CUST000139,41,Male,Married,Postgraduate,Retired,22165.94,7203.6,808.28,515.89,5875.97,28,890.05,100.08,49.45,14382.32,Retail,West,11,98,Yes,534.54,No
CUST000140,77,Male,Married,Undergraduate,Unemployed,7493.19,1202.99,562.18,385.91,1056.24,16,828.36,42.04,49.22,2773.03,Retail,Central,1,25,No,484.26,No
CUST000141,77,Male,Divorced,Postgraduate,Employed,54818.29,17220.23,2720.91,1712.3,16152.63,21,763.71,101.04,46.71,36578.73,Retail,South,18,27,No,370.22,No
CUST000142,36,Male,Single,Postgraduate,Self-Employed,55192.02,20500.28,3657.31,2512.34,6492.03,30,822.27,91.24,0.71,30083.11,Retail,Central,14,91,No,408.88,No
CUST000143,46,Female,Married,Undergraduate,Employed,73351.88,8749.71,3253.99,2064.44,15822.64,34,1138.85,178.95,7.73,15682.57,Retail,North,13,2,No,630.69,No
CUST000144,38,Male,Married,Undergraduate,Self-Employed,67369.19,17815.97,2247.74,1688.22,12338.72,26,906.56,26.38,27.62,42068.14,Private,North,7,22,No,695.23,No
CUST000145,38,Female,Married,Undergraduate,Unemployed,14694.92,3022.93,885.16,734.85,2813.75,35,739.76,191.22,9.36,7705.88,Retail,South,5,66,No,614.23,No
CUST000146,23,Female,Married,Undergraduate,Employed,40891.83,19065.41,1748.43,1351.93,8573.04,31,214.45,123.75,42.74,6917.49,Retail,West,5,48,No,391.88,No
CUST000147,51,Female,Divorced,Undergraduate,Employed,65898.4,31222.07,2217.52,1447.15,11919.29,16,1464.68,115.33,34.99,58035.73,Private,Central,4,53,No,471.69,No
CUST000148,46,Male,Single,High School,Self-Employed,88226.45,19620.95,5836.83,4514.86,10599.37,29,435.07,179.52,9.2,16148.93,Retail,South,13,1,No,687.62,No
CUST000149,25,Female,Married,Undergraduate,Self-Employed,69913.55,31253.91,2330.19,1978.25,9714.21,29,1316.82,54.38,40.92,46691.67,Retail,South,3,54,No,345.35,Yes
CUST000150,37,Male,Divorced,High School,Employed,50669.24,21596.75,4023.8,2891.55,5859.84,9,630.57,57.62,24.91,19586.58,Retail,East,14,39,No,675.86,No
CUST000151,73,Female,Single,Undergraduate,Employed,64825.81,28363.18,1414.74,868.74,24882.51,14,1057.51,177.4,35.49,22098.3,Retail,South,2,10,Yes,770.1,No
CUST000152,36,Male,Single,Undergraduate,Employed,33075,5903.66,2043.68,1676.5,2693.7,8,735.78,187.3,6.99,22594.87,Private,North,18,12,No,735.74,No
CUST000153,32,Male,Single,Undergraduate,Employed,63784.6,11387.34,4839.3,2931.86,7518.3,2,595.83,170.81,25.89,24026.08,High Net Worth,South,16,37,No,616.58,No
CUST000154,46,Male,Married,High School,Self-Employed,54452.64,8109.85,2169.59,1359.54,16043.91,11,960.03,27.43,38.82,49024.67,Retail,South,11,46,No,791.96,No
CUST000155,78,Female,Single,Undergraduate,Employed,68152.52,27056.3,2558.1,1706.43,16415.19,2,850.55,137.37,17.28,46048.31,Retail,East,17,17,No,331.85,No
CUST000156,36,Male,Single,Undergraduate,Self-Employed,53611.53,25637.33,2185.44,1543.63,14560.51,18,425.41,101.2,9.34,9665.79,Retail,North,17,3,No,592.09,No
